stim_id,dataset,critical_word,word_length,word_position,zipf_freq,log10_word_freq,coltheart_n
1540,frank_2015,could,5,4,6.06,-2.939301781999177,4
1541,frank_2015,talk,4,5,5.42,-3.5800426002035644,15
1542,frank_2015,to,2,6,7.43,-1.570247703852816,37
1543,frank_2015,his,3,7,6.51,-2.4894548557519016,15
1544,frank_2015,dad,3,8,4.95,-4.0501174217538685,37
1545,frank_2015,closed,6,1,4.9,-4.100174027903545,3
1546,frank_2015,the,3,2,7.73,-1.270025706213024,14
1547,frank_2015,door,4,3,5.08,-3.920815134846772,12
1548,frank_2015,and,3,4,7.41,-1.5900668597700878,15
1549,frank_2015,took,4,5,5.51,-3.4894536493803887,23
1550,frank_2015,a,1,6,7.36,-1.640164498695288,51
1551,frank_2015,breath,6,7,4.52,-4.480158885743263,3
1552,frank_2015,is,2,1,7.07,-1.9318141011346535,16
1553,frank_2015,after,5,2,6.11,-2.8894099530384927,4
1554,frank_2015,glory,5,3,4.36,-4.640145553249642,4
1555,frank_2015,and,3,4,7.41,-1.5900668597700878,15
1556,frank_2015,heads,5,5,4.67,-4.329744867228396,3
1557,frank_2015,for,3,6,7.01,-1.9913997856601942,29
1558,frank_2015,his,3,7,6.51,-2.4894548557519016,15
1559,frank_2015,hall,4,8,4.87,-4.130175931136036,27
1560,frank_2015,within,6,1,5.44,-3.560665726919947,1
1561,frank_2015,the,3,2,7.73,-1.270025706213024,14
1562,frank_2015,walls,5,3,4.62,-4.379853530415341,1
1563,frank_2015,to,2,4,7.43,-1.570247703852816,37
1564,frank_2015,escape,6,5,4.64,-4.3595086250544535,0
1565,frank_2015,enemy,5,7,4.7,-4.300153605666733,1
1566,frank_2015,me,2,1,6.48,-2.519992913236753,26
1567,frank_2015,what,4,2,6.38,-2.6197885773323977,15
1568,frank_2015,really,6,3,5.97,-3.0301178907719897,2
1569,frank_2015,happened,8,4,5.2,-3.801340164355023,0
1570,frank_2015,to,2,5,7.43,-1.570247703852816,37
1571,frank_2015,the,3,6,7.73,-1.270025706213024,14
1572,frank_2015,truck,5,7,4.64,-4.3595086250544535,7
1573,frank_2015,gave,4,1,5.25,-3.7495775578413197,30
1574,frank_2015,Bernard,7,2,4.02,-4.978769341520297,2
1575,frank_2015,a,1,3,7.36,-1.640164498695288,51
1576,frank_2015,hard,4,4,5.53,-3.469799020694141,24
1577,frank_2015,slap,4,5,3.97,-5.030071810571884,22
1578,frank_2015,on,2,6,6.91,-2.0899094009871795,21
1579,frank_2015,the,3,7,7.73,-1.270025706213024,14
1580,frank_2015,head,4,8,5.51,-3.4894536493803887,18
1581,frank_2015,else,4,2,5.38,-3.619786948731823,5
